Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
opencleveland.github.io,Cleveland's Code For America Brigade website. Derived from https://github.com/sfbrigade/sfbrigade.github.io,http://codeforamerica.org/api/projects/35212,https://github.com/opencleveland/opencleveland.github.io,Cleveland's Code For America Brigade website. Derived from https://github.com/sfbrigade/sfbrigade.github.io,http://opencleveland.github.io,Open Cleveland,http://codeforamerica.org/api/organizations/Open-Cleveland,Cleveland_ OH,http://opencleveland.org,,,,,,,,,,
soundcite,Making Inline Audio Easy and Seamless,http://codeforamerica.org/api/projects/34146,https://github.com/NUKnightLab/soundcite,Making Inline Audio Easy and Seamless,http://soundcite.com,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
code-for-nashville.github.io,The Code for Nashville Web Site,http://codeforamerica.org/api/projects/34825,https://github.com/code-for-nashville/code-for-nashville.github.io,The Code for Nashville Web Site,http://www.codefornashville.org,Code for Nashville,http://codeforamerica.org/api/organizations/Code-for-Nashville,Nashville_ TN,http://www.codefornashville.org,,,,,,,,,,
dirittodisapere-theme,Theme for Italian Alaveteli site,http://codeforamerica.org/api/projects/35763,https://github.com/mysociety/dirittodisapere-theme,Theme for Italian Alaveteli site,(null),mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
alaveteli,Provide a Freedom of Information request system for your jurisdiction,http://codeforamerica.org/api/projects/35750,https://github.com/mysociety/alaveteli,Provide a Freedom of Information request system for your jurisdiction,http://alaveteli.org,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
clearstreets-processing,Converts GPX files to OSM (Open Street Map) and snaps lines to city street grid,http://codeforamerica.org/api/projects/34122,https://github.com/open-city/clearstreets-processing,Converts GPX files to OSM (Open Street Map) and snaps lines to city street grid,clearstreets.org,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
FusionTable-Map-Template,Searchable Map Template using Google Maps and Fusion Tables,http://codeforamerica.org/api/projects/34105,https://github.com/derekeder/FusionTable-Map-Template,Searchable Map Template using Google Maps and Fusion Tables,http://derekeder.com/searchable_map_template/,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
wikipedia_list_of_legislatures2,,http://codeforamerica.org/api/projects/36867,https://github.com/mysociety/wikipedia_list_of_legislatures2,,https://morph.io/mysociety/wikipedia_list_of_legislatures2,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
showcase,Projects Management System for Open Community,http://codeforamerica.org/api/projects/36658,https://github.com/codeforseoul/showcase,Projects Management System for Open Community,(null),CodeNamu(Code for Korea),http://codeforamerica.org/api/organizations/CodeNamu(Code-for-Korea),Seoul_ South Korea,http://codenamu.org,,,,,,,,,,
project-open-data.github.io,Open Data Policy — Managing Information as an Asset,http://codeforamerica.org/api/projects/33032,https://github.com/project-open-data/project-open-data.github.io,Open Data Policy — Managing Information as an Asset,https://project-open-data.cio.gov/,Project Open Data,http://codeforamerica.org/api/organizations/Project-Open-Data,Washington_ DC,http://project-open-data.github.io/,,,,,,,,,,
PATCO GTFS,Google came up with an awesome specification for transit data: [GTFS](https://developers.google.com/transit/gtfs/reference).  Many transit agencies publish their schedules as GTFS for Google and other developers to use in transit applications; PATCO does not currently publish theirs as GTFS.  This project takes the data from the [PATCO PDF schedules](http://www.ridepatco.org/schedules/schedules.asp),and transforms them into GTFS.,http://codeforamerica.org/api/projects/36828,https://github.com/CfABrigadePhiladelphia/patco-gtfs,Google came up with an awesome specification for transit data: [GTFS](https://developers.google.com/transit/gtfs/reference).  Many transit agencies publish their schedules as GTFS for Google and other developers to use in transit applications; PATCO does not currently publish theirs as GTFS.  This project takes the data from the [PATCO PDF schedules](http://www.ridepatco.org/schedules/schedules.asp),and transforms them into GTFS.,https://github.com/flibbertigibbet/patco-gtfs/releases,Code for Philly,http://codeforamerica.org/api/organizations/Code-for-Philly,Philadelphia_ PA,http://codeforphilly.org/,,,,,,,,
Bike Route Tracker (CyclePhilly),I am interested in developing a smartphone-based project to collect voluntary data on cyclists' bike route preferences.,http://codeforamerica.org/api/projects/36774,https://github.com/CfABrigadePhiladelphia/CyclePhilly-iOS-app,I am interested in developing a smartphone-based project to collect voluntary data on cyclists' bike route preferences.,http://www.cyclephilly.org,Code for Philly,http://codeforamerica.org/api/organizations/Code-for-Philly,Philadelphia_ PA,http://codeforphilly.org/,,,,,,,,,,
